IID	PRS	PRS_Risk_Group	PRS_Percentile	sample	pop	super_pop	gender
HG03815	0.44397689	Intermediate	26.437699680511184	HG03815	BEB	SAS	male
HG03817	0.11226761	Low	11.261980830670929	HG03817	BEB	SAS	female
HG03821	0.58807779	Intermediate	35.70287539936102	HG03821	BEB	SAS	male
HG03823	1.0855921	High	84.70447284345049	HG03823	BEB	SAS	female
HG03824	0.7255594599999999	Intermediate	47.48402555910543	HG03824	BEB	SAS	male
HG03826	0.783226413	Intermediate	52.0367412140575	HG03826	BEB	SAS	female
HG03829	0.76508073	Intermediate	50.63897763578274	HG03829	BEB	SAS	female
HG03830	0.43317035	Intermediate	25.63897763578275	HG03830	BEB	SAS	male
HG03832	0.8981452800000003	Intermediate	64.57667731629392	HG03832	BEB	SAS	female
HG03833	0.31006835	Low	19.089456869009584	HG03833	BEB	SAS	male
HG03836	0.8730396999999998	Intermediate	61.18210862619809	HG03836	STU	SAS	female
HG03837	0.62968746	Intermediate	39.01757188498402	HG03837	STU	SAS	male
HG03838	0.7925544499999999	Intermediate	52.87539936102237	HG03838	STU	SAS	female
HG03844	0.6759416399999999	Intermediate	42.6517571884984	HG03844	STU	SAS	male
HG03846	0.4523240999999999	Intermediate	26.956869009584665	HG03846	STU	SAS	male
