IID	PRS	PRS_Group
HG01491	-24.3027	Low
HG01492	-24.7344	Low
HG01494	-21.5646	Intermediate
HG01495	-27.9456	Low
HG01497	-22.8408	Intermediate
HG01498	-25.419400000000003	Low
HG01500	-21.797300000000003	Intermediate
HG01501	-20.326400000000003	High
HG01503	-23.422	Low
HG01504	-22.9907	Intermediate
HG01506	-20.2408	High
HG01507	-22.8755	Intermediate
HG01509	-19.878	High
HG01510	-22.818	Intermediate
HG01512	-22.9351	Intermediate
HG01513	-20.5838	Intermediate
HG01515	-21.689999999999998	Intermediate
HG01516	-20.8782	Intermediate
HG01518	-21.671899999999997	Intermediate
HG01519	-23.804	Low
HG01521	-24.2846	Low
HG01522	-19.309500000000003	High
HG01524	-21.535300000000003	Intermediate
HG01525	-22.083900000000003	Intermediate
HG01527	-21.461500000000008	Intermediate
HG01528	-19.4992	High
HG01530	-21.5772	Intermediate
HG01531	-23.9849	Low
HG01536	-21.160499999999995	Intermediate
HG01537	-23.3472	Low
HG01550	-24.95179999999999	Low
HG01551	-22.4903	Intermediate
HG01556	-22.8655	Intermediate
HG01565	-24.760600000000004	Low
HG01566	-22.354299999999995	Intermediate
HG01571	-23.700399999999995	Low
HG01572	-23.2322	Intermediate
HG01577	-19.5235	High
HG01578	-21.8544	Intermediate
HG01583	-20.0437	High
HG01586	-20.0612	High
HG01589	-22.1153	Intermediate
HG01593	-21.8411	Intermediate
HG01595	-19.5191	High
HG01596	-24.30629999999999	Low
HG01597	-23.1107	Intermediate
HG01598	-20.3582	Intermediate
HG01599	-21.9319	Intermediate
HG01600	-23.145599999999995	Intermediate
HG01602	-21.2814	Intermediate
HG01603	-20.8436	Intermediate
HG01605	-22.189200000000003	Intermediate
HG01606	-20.2364	High
HG01607	-22.1482	Intermediate
HG01608	-21.2205	Intermediate
HG01610	-23.194099999999995	Intermediate
HG01612	-23.047599999999992	Intermediate
HG01613	-19.830800000000004	High
HG01615	-18.5831	High
HG01617	-20.047100000000004	High
HG01618	-22.9077	Intermediate
HG01619	-23.630900000000008	Low
HG01620	-21.6349	Intermediate
HG01623	-20.158700000000003	High
HG01624	-19.48	High
HG01625	-19.7995	High
HG01626	-24.297199999999997	Low
HG01628	-21.585800000000003	Intermediate
HG01630	-19.2007	High
HG01631	-24.5885	Low
HG01632	-22.987	Intermediate
HG01668	-22.9121	Intermediate
HG01669	-21.437800000000003	Intermediate
HG01670	-21.306	Intermediate
HG01672	-24.613199999999992	Low
HG01673	-20.438500000000005	Intermediate
HG01675	-23.7481	Low
HG01676	-21.8417	Intermediate
HG01678	-20.4232	Intermediate
HG01679	-24.1049	Low
HG01680	-21.1644	Intermediate
HG01682	-21.795900000000003	Intermediate
HG01684	-23.946000000000005	Low
HG01685	-22.3197	Intermediate
HG01686	-20.1312	High
